filename,true_label,predicted_label,female_confidence,male_confidence
079298.jpg,Male,Female,0.7486,0.2514
022047.jpg,Female,Male,0.3037,0.6963
111414.jpg,Male,Female,0.8077,0.1923
146900.jpg,Male,Female,0.6755,0.3245
099126.jpg,Male,Female,0.5873,0.4127
131185.jpg,Male,Female,0.5384,0.4616
104308.jpg,Male,Female,0.5911,0.4089
112250.jpg,Male,Female,0.6514,0.3486
171554.jpg,Male,Female,0.9499,0.0501
197787.jpg,Male,Female,0.8240,0.1760
101699.jpg,Male,Female,0.7457,0.2543
103710.jpg,Female,Male,0.4530,0.5470
067999.jpg,Female,Male,0.2894,0.7106
189231.jpg,Male,Female,0.8706,0.1294
103686.jpg,Female,Male,0.2608,0.7392
118904.jpg,Female,Male,0.2151,0.7849
123985.jpg,Female,Male,0.4431,0.5569
138407.jpg,Male,Female,0.9032,0.0968
182449.jpg,Male,Female,0.9011,0.0989
011140.jpg,Female,Male,0.2700,0.7300
171036.jpg,Male,Female,0.5899,0.4101
123155.jpg,Female,Male,0.1057,0.8943
187563.jpg,Male,Female,0.7617,0.2383
147930.jpg,Male,Female,0.5389,0.4611
142036.jpg,Female,Male,0.2932,0.7068
050724.jpg,Female,Male,0.4190,0.5810
035247.jpg,Female,Male,0.3415,0.6585
129476.jpg,Female,Male,0.2495,0.7505
122626.jpg,Female,Male,0.3509,0.6491
110417.jpg,Male,Female,0.5502,0.4498
141054.jpg,Male,Female,0.6068,0.3932
202596.jpg,Male,Female,0.8187,0.1813
030185.jpg,Female,Male,0.1926,0.8074
062998.jpg,Female,Male,0.1587,0.8413
052726.jpg,Male,Female,0.5716,0.4284
027542.jpg,Male,Female,0.5038,0.4962
121319.jpg,Female,Male,0.3869,0.6131
032908.jpg,Male,Female,0.8742,0.1258
115714.jpg,Female,Male,0.3206,0.6794
024854.jpg,Male,Female,0.7041,0.2959
133884.jpg,Female,Male,0.4154,0.5846
145562.jpg,Male,Female,0.5176,0.4824
015221.jpg,Female,Male,0.4939,0.5061
100651.jpg,Female,Male,0.3547,0.6453
075787.jpg,Female,Male,0.2736,0.7264
196478.jpg,Female,Male,0.4493,0.5507
080083.jpg,Female,Male,0.3926,0.6074
110156.jpg,Male,Female,0.6755,0.3245
033592.jpg,Male,Female,0.5805,0.4195
199167.jpg,Male,Female,0.5910,0.4090
131848.jpg,Female,Male,0.0973,0.9027
084035.jpg,Male,Female,0.5110,0.4890
041885.jpg,Female,Male,0.1728,0.8272
150660.jpg,Female,Male,0.4416,0.5584
053696.jpg,Male,Female,0.7991,0.2009
137078.jpg,Male,Female,0.5242,0.4758
174657.jpg,Female,Male,0.4333,0.5667
156838.jpg,Female,Male,0.3842,0.6158
174200.jpg,Female,Male,0.2041,0.7959
029365.jpg,Male,Female,0.7061,0.2939
017452.jpg,Female,Male,0.2856,0.7144
067387.jpg,Female,Male,0.0596,0.9404
020697.jpg,Female,Male,0.4646,0.5354
193187.jpg,Female,Male,0.3997,0.6003
170189.jpg,Female,Male,0.2052,0.7948
126929.jpg,Male,Female,0.5620,0.4380
006361.jpg,Male,Female,0.5822,0.4178
150857.jpg,Female,Male,0.1467,0.8533
087238.jpg,Female,Male,0.1494,0.8506
164889.jpg,Female,Male,0.0988,0.9012
000525.jpg,Female,Male,0.2718,0.7282
107240.jpg,Female,Male,0.2236,0.7764
