filename,true_label,predicted_label,female_confidence,male_confidence
111414.jpg,Male,Female,0.9735,0.0265
167309.jpg,Male,Female,0.5606,0.4394
146900.jpg,Male,Female,0.8217,0.1783
028547.jpg,Male,Female,0.9612,0.0388
131185.jpg,Male,Female,0.9544,0.0456
112250.jpg,Male,Female,0.8719,0.1281
171554.jpg,Male,Female,0.9930,0.0070
197787.jpg,Male,Female,0.8514,0.1486
101699.jpg,Male,Female,0.5666,0.4334
103710.jpg,Female,Male,0.2051,0.7949
049740.jpg,Male,Female,0.7073,0.2927
189231.jpg,Male,Female,0.9979,0.0021
105096.jpg,Male,Female,0.7082,0.2918
138407.jpg,Male,Female,0.9806,0.0194
110180.jpg,Male,Female,0.6009,0.3991
182449.jpg,Male,Female,0.9700,0.0300
011140.jpg,Female,Male,0.3908,0.6092
171036.jpg,Male,Female,0.9174,0.0826
055878.jpg,Male,Female,0.5630,0.4370
187563.jpg,Male,Female,0.8652,0.1348
054594.jpg,Female,Male,0.2930,0.7070
141052.jpg,Male,Female,0.6988,0.3012
035247.jpg,Female,Male,0.0061,0.9939
129476.jpg,Female,Male,0.3406,0.6594
150988.jpg,Male,Female,0.5371,0.4629
122626.jpg,Female,Male,0.4847,0.5153
074881.jpg,Male,Female,0.6304,0.3696
136183.jpg,Male,Female,0.8896,0.1104
110417.jpg,Male,Female,0.9605,0.0395
056222.jpg,Male,Female,0.9627,0.0373
202596.jpg,Male,Female,0.9139,0.0861
030185.jpg,Female,Male,0.0391,0.9609
197726.jpg,Male,Female,0.5071,0.4929
178541.jpg,Female,Male,0.0613,0.9387
052726.jpg,Male,Female,0.5636,0.4364
089477.jpg,Male,Female,0.7795,0.2205
032908.jpg,Male,Female,0.9643,0.0357
041346.jpg,Female,Male,0.2287,0.7713
145562.jpg,Male,Female,0.6630,0.3370
015221.jpg,Female,Male,0.4289,0.5711
185292.jpg,Male,Female,0.5725,0.4275
018200.jpg,Male,Female,0.8794,0.1206
075787.jpg,Female,Male,0.4246,0.5754
182498.jpg,Female,Male,0.1383,0.8617
193968.jpg,Male,Female,0.8883,0.1117
117925.jpg,Male,Female,0.8087,0.1913
176414.jpg,Male,Female,0.7080,0.2920
131848.jpg,Female,Male,0.4888,0.5112
190666.jpg,Female,Male,0.4881,0.5119
059640.jpg,Male,Female,0.9354,0.0646
041885.jpg,Female,Male,0.0960,0.9040
150660.jpg,Female,Male,0.4181,0.5819
107643.jpg,Male,Female,0.8405,0.1595
053696.jpg,Male,Female,0.6211,0.3789
144723.jpg,Male,Female,0.7494,0.2506
085144.jpg,Male,Female,0.9376,0.0624
174657.jpg,Female,Male,0.2616,0.7384
002656.jpg,Male,Female,0.5243,0.4757
127676.jpg,Male,Female,0.6285,0.3715
198981.jpg,Male,Female,0.7314,0.2686
156838.jpg,Female,Male,0.3520,0.6480
174200.jpg,Female,Male,0.0400,0.9600
029365.jpg,Male,Female,0.8758,0.1242
131881.jpg,Male,Female,0.7377,0.2623
067387.jpg,Female,Male,0.1670,0.8330
018181.jpg,Male,Female,0.5100,0.4900
055532.jpg,Male,Female,0.7041,0.2959
126929.jpg,Male,Female,0.7555,0.2445
150857.jpg,Female,Male,0.0191,0.9809
173485.jpg,Male,Female,0.7376,0.2624
133644.jpg,Male,Female,0.7020,0.2980
087238.jpg,Female,Male,0.4359,0.5641
164889.jpg,Female,Male,0.0657,0.9343
041491.jpg,Male,Female,0.6952,0.3048
000525.jpg,Female,Male,0.4037,0.5963
152925.jpg,Male,Female,0.9369,0.0631
088829.jpg,Female,Male,0.0038,0.9962
005817.jpg,Male,Female,0.9291,0.0709
017678.jpg,Male,Female,0.7210,0.2790
057859.jpg,Male,Female,0.5861,0.4139
069197.jpg,Female,Male,0.4640,0.5360
132249.jpg,Male,Female,0.8827,0.1173
143246.jpg,Female,Male,0.4262,0.5738
199749.jpg,Female,Male,0.4700,0.5300
196701.jpg,Male,Female,0.8249,0.1751
195570.jpg,Female,Male,0.0939,0.9061
162215.jpg,Male,Female,0.9992,0.0008
023132.jpg,Male,Female,0.9092,0.0908
142870.jpg,Male,Female,0.5925,0.4075
073746.jpg,Male,Female,0.5957,0.4043
178956.jpg,Female,Male,0.4839,0.5161
175187.jpg,Female,Male,0.3855,0.6145
040513.jpg,Female,Male,0.4082,0.5918
084703.jpg,Female,Male,0.2160,0.7840
062744.jpg,Male,Female,0.8531,0.1469
054363.jpg,Male,Female,0.6471,0.3529
078749.jpg,Male,Female,0.8881,0.1119
120559.jpg,Female,Male,0.1968,0.8032
133978.jpg,Male,Female,0.7655,0.2345
183490.jpg,Male,Female,0.9442,0.0558
079609.jpg,Male,Female,0.5064,0.4936
128037.jpg,Male,Female,0.6465,0.3535
025771.jpg,Female,Male,0.0275,0.9725
117315.jpg,Male,Female,0.9849,0.0151
018480.jpg,Female,Male,0.2433,0.7567
135100.jpg,Female,Male,0.4708,0.5292
141003.jpg,Male,Female,0.7792,0.2208
145583.jpg,Female,Male,0.2894,0.7106
039583.jpg,Male,Female,0.9014,0.0986
147935.jpg,Male,Female,0.7625,0.2375
000004.jpg,Female,Male,0.1739,0.8261
028569.jpg,Female,Male,0.2743,0.7257
189647.jpg,Male,Female,0.8733,0.1267
044018.jpg,Male,Female,0.8551,0.1449
183267.jpg,Male,Female,0.9992,0.0008
006189.jpg,Male,Female,0.7303,0.2697
109050.jpg,Male,Female,0.9553,0.0447
007047.jpg,Female,Male,0.0477,0.9523
008554.jpg,Male,Female,0.9727,0.0273
106228.jpg,Male,Female,0.8177,0.1823
135211.jpg,Male,Female,0.8834,0.1166
101118.jpg,Male,Female,0.9926,0.0074
099173.jpg,Male,Female,0.7409,0.2591
184122.jpg,Male,Female,0.5745,0.4255
101888.jpg,Female,Male,0.0142,0.9858
110780.jpg,Female,Male,0.4606,0.5394
178291.jpg,Male,Female,0.6022,0.3978
006302.jpg,Female,Male,0.2253,0.7747
