filename,true_label,predicted_label,female_confidence,male_confidence
071967.jpg,Female,Male,0.1319,0.8681
079298.jpg,Male,Female,0.5116,0.4884
111414.jpg,Male,Female,0.6236,0.3764
146900.jpg,Male,Female,0.9873,0.0127
099126.jpg,Male,Female,0.5451,0.4549
028547.jpg,Male,Female,0.8035,0.1965
131185.jpg,Male,Female,0.7342,0.2658
104308.jpg,Male,Female,0.9431,0.0569
109990.jpg,Female,Male,0.4966,0.5034
112250.jpg,Male,Female,0.6218,0.3782
171554.jpg,Male,Female,0.9887,0.0113
029409.jpg,Female,Male,0.3903,0.6097
101699.jpg,Male,Female,0.6912,0.3088
103710.jpg,Female,Male,0.2951,0.7049
189231.jpg,Male,Female,0.9029,0.0971
185416.jpg,Female,Male,0.4672,0.5328
103686.jpg,Female,Male,0.4111,0.5889
138407.jpg,Male,Female,0.9756,0.0244
182449.jpg,Male,Female,0.8321,0.1679
011140.jpg,Female,Male,0.1272,0.8728
171036.jpg,Male,Female,0.9460,0.0540
123155.jpg,Female,Male,0.2221,0.7779
187563.jpg,Male,Female,0.6998,0.3002
054594.jpg,Female,Male,0.4755,0.5245
050724.jpg,Female,Male,0.2698,0.7302
035247.jpg,Female,Male,0.2011,0.7989
129476.jpg,Female,Male,0.4049,0.5951
122626.jpg,Female,Male,0.3198,0.6802
011701.jpg,Female,Male,0.1906,0.8094
202596.jpg,Male,Female,0.9329,0.0671
030185.jpg,Female,Male,0.4113,0.5887
027542.jpg,Male,Female,0.8734,0.1266
032908.jpg,Male,Female,0.9907,0.0093
024854.jpg,Male,Female,0.6388,0.3612
100651.jpg,Female,Male,0.2872,0.7128
025201.jpg,Male,Female,0.6667,0.3333
185292.jpg,Male,Female,0.6789,0.3211
196478.jpg,Female,Male,0.4203,0.5797
080083.jpg,Female,Male,0.3744,0.6256
131848.jpg,Female,Male,0.2215,0.7785
154490.jpg,Male,Female,0.5154,0.4846
025073.jpg,Female,Male,0.1454,0.8546
041885.jpg,Female,Male,0.1779,0.8221
150660.jpg,Female,Male,0.4082,0.5918
137078.jpg,Male,Female,0.9558,0.0442
198981.jpg,Male,Female,0.5058,0.4942
156838.jpg,Female,Male,0.2334,0.7666
193709.jpg,Female,Male,0.3859,0.6141
067387.jpg,Female,Male,0.0419,0.9581
184438.jpg,Female,Male,0.3568,0.6432
018181.jpg,Male,Female,0.8798,0.1202
020697.jpg,Female,Male,0.4777,0.5223
126929.jpg,Male,Female,0.9192,0.0808
006361.jpg,Male,Female,0.8252,0.1748
077013.jpg,Female,Male,0.1558,0.8442
112321.jpg,Female,Male,0.2017,0.7983
150857.jpg,Female,Male,0.4757,0.5243
173485.jpg,Male,Female,0.7086,0.2914
042143.jpg,Male,Female,0.5241,0.4759
087238.jpg,Female,Male,0.3896,0.6104
164889.jpg,Female,Male,0.0157,0.9843
041491.jpg,Male,Female,0.5481,0.4519
000525.jpg,Female,Male,0.0676,0.9324
152925.jpg,Male,Female,0.6899,0.3101
101551.jpg,Male,Female,0.6306,0.3694
088829.jpg,Female,Male,0.0124,0.9876
005817.jpg,Male,Female,0.5633,0.4367
132249.jpg,Male,Female,0.8367,0.1633
069081.jpg,Female,Male,0.2441,0.7559
196701.jpg,Male,Female,0.8091,0.1909
195570.jpg,Female,Male,0.0683,0.9317
162215.jpg,Male,Female,0.9871,0.0129
028901.jpg,Male,Female,0.5860,0.4140
077848.jpg,Female,Male,0.0472,0.9528
023132.jpg,Male,Female,0.9178,0.0822
175187.jpg,Female,Male,0.3671,0.6329
133190.jpg,Male,Female,0.7653,0.2347
166510.jpg,Male,Female,0.5157,0.4843
